emp_length,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,target,loan_to_income,credit_history_years,annual_income_missing
10.0,MORTGAGE,72000.0,Verified,23.47,,,,0,31.0,1993,1,34,15,355336,59056,0,0,,0,0,3,5,9.0,15,0.0,0,2,5000,15,10,10,5,97.1,0,0,other,individual,4000,36,15.05,138.76,C,C4,Jan-2018,Fully Paid,whole,Cash,0,0.05555555555555555,25,0
0.0,RENT,64000.0,Source Verified,1.03,,,,0,47.0,1981,0,15,6,9000,914,0,0,47.0,0,0,0,1,,6,0.0,0,1,3000,14,6,2,1,86.7,0,0,other,individual,23000,36,6.72,707.24,A,A3,Feb-2018,Fully Paid,whole,Cash,0,0.359375,37,0
4.0,MORTGAGE,130000.0,Not Verified,7.91,,,,0,999.0,2006,1,35,19,380547,16799,0,1,,0,0,1,7,5.0,19,0.0,0,6,65800,32,17,7,1,100.0,0,1,home_improvement,individual,12000,60,9.92,254.5,B,B2,Mar-2018,Fully Paid,whole,Cash,0,0.09230769230769231,12,0
9.0,MORTGAGE,75000.0,Not Verified,20.7,,,,0,999.0,2007,2,21,12,227878,68804,0,0,,0,0,3,6,6.0,12,0.0,0,2,32000,9,8,3,4,100.0,0,0,credit_card,individual,10000,36,7.35,310.38,A,A4,Jan-2018,Fully Paid,whole,Cash,0,0.13333333333333333,11,0
0.0,OWN,150000.0,Source Verified,9.16,,,,1,9.0,1987,2,27,10,835975,96806,0,0,9.0,0,0,1,3,5.0,10,0.0,0,3,44000,18,8,6,5,96.2,0,0,other,individual,18000,60,9.44,377.51,B,B1,Jan-2018,Fully Paid,whole,Cash,0,0.12,31,0
10.0,RENT,90000.0,Not Verified,11.57,,,,0,77.0,2010,0,13,8,38667,21543,0,1,,0,0,4,6,,8,0.0,0,2,7800,4,4,4,0,92.3,1,0,debt_consolidation,individual,11000,60,16.02,267.62,C,C5,Feb-2018,Fully Paid,whole,Cash,0,0.12222222222222222,8,0
10.0,MORTGAGE,70000.0,Not Verified,10.97,91600.0,Not Verified,8.87,0,999.0,2003,1,30,10,560929,34417,0,0,,0,0,1,7,7.0,10,0.0,0,3,44800,14,8,3,8,100.0,0,0,debt_consolidation,joint,15000,60,13.59,345.85,C,C2,Jan-2018,Fully Paid,whole,Cash,0,0.21428571428571427,15,0
10.0,MORTGAGE,60000.0,Verified,33.53,,,,0,999.0,2006,7,23,7,282033,106680,0,0,,0,0,2,7,3.0,7,0.0,0,1,5600,6,4,4,3,100.0,0,0,credit_card,individual,7500,36,21.45,284.3,D,D5,Jan-2018,Fully Paid,whole,Cash,0,0.125,12,0
4.0,OWN,71000.0,Not Verified,19.74,,,,0,999.0,1992,1,22,15,343590,41527,0,0,,0,0,2,4,6.0,15,0.0,0,2,32700,17,12,8,1,100.0,0,0,credit_card,individual,12000,36,5.32,361.38,A,A1,Jan-2018,Fully Paid,whole,Cash,0,0.16901408450704225,26,0
1.0,MORTGAGE,72100.0,Not Verified,30.78,,,,1,23.0,2002,5,56,22,355726,129542,0,0,60.0,0,0,5,12,2.0,22,0.0,0,5,32600,28,16,9,2,94.4,0,0,credit_card,individual,12000,36,12.62,402.14,C,C1,Jan-2018,Fully Paid,fractional,DirectPay,0,0.1664355062413315,16,0
10.0,MORTGAGE,62000.0,Source Verified,14.52,,,,1,4.0,1998,3,28,5,41896,20133,0,0,,0,0,2,2,3.0,5,0.0,0,0,5400,19,3,0,3,96.4,0,0,other,individual,17000,60,13.59,391.96,C,C2,Feb-2018,Fully Paid,whole,Cash,0,0.27419354838709675,20,0
,RENT,32800.0,Not Verified,29.09,,,,0,999.0,2002,1,23,12,61741,26355,0,1,,0,0,3,4,7.0,12,0.0,0,1,7000,17,9,7,1,100.0,0,1,debt_consolidation,individual,3800,36,7.35,117.95,A,A4,Feb-2018,Fully Paid,whole,Cash,0,0.11585365853658537,16,0
0.0,RENT,130000.0,Source Verified,0.09,,,,0,999.0,2004,0,4,2,3100,10,0,0,,0,0,0,1,,2,0.0,0,1,3100,3,2,1,0,100.0,0,0,other,individual,10000,36,7.35,310.38,A,A4,Jan-2018,Fully Paid,whole,Cash,0,0.07692307692307693,14,0
5.0,MORTGAGE,40000.0,Verified,2.97,,,,0,999.0,1999,2,10,3,156490,3908,0,0,,0,148,0,1,0.0,3,0.0,0,2,8500,5,2,2,3,100.0,0,0,other,individual,6000,36,10.42,194.79,B,B3,Jan-2018,Fully Paid,whole,Cash,0,0.15,19,0
2.0,RENT,51000.0,Verified,22.66,,,,0,999.0,2000,2,23,21,104401,109072,0,0,,0,0,15,3,3.0,21,0.0,0,2,9600,6,6,4,0,100.0,0,0,debt_consolidation,individual,20000,36,17.47,717.75,D,D1,Mar-2018,Fully Paid,whole,Cash,0,0.39215686274509803,18,0
,MORTGAGE,70000.0,Verified,39.43,130000.0,Verified,23.47,0,999.0,1987,1,21,18,405432,107379,0,0,,0,0,1,3,12.0,18,0.0,0,14,55400,17,16,14,1,100.0,0,0,credit_card,joint,16000,60,17.09,398.42,D,D1,Jan-2018,Fully Paid,whole,Cash,0,0.22857142857142856,31,0
1.0,MORTGAGE,122000.0,Source Verified,24.59,,,,0,24.0,2005,5,30,15,540105,143742,0,0,24.0,0,51,4,5,11.0,15,0.0,0,7,86000,12,10,7,1,96.7,0,0,small_business,individual,28000,60,15.04,666.71,C,C4,Mar-2018,Fully Paid,whole,Cash,0,0.22950819672131148,13,0
1.0,MORTGAGE,40000.0,Source Verified,26.19,,,,0,29.0,1998,1,30,22,93437,81995,0,0,48.0,0,390,14,6,7.0,22,0.0,0,3,11100,13,8,5,0,90.0,0,0,debt_consolidation,individual,3000,36,11.98,99.62,B,B5,Mar-2018,Fully Paid,whole,Cash,0,0.075,20,0
10.0,MORTGAGE,104000.0,Source Verified,13.39,,,,0,999.0,2004,1,14,8,362735,51772,0,0,,0,0,2,5,10.0,8,,0,2,10500,7,5,5,1,100.0,0,0,debt_consolidation,individual,35000,60,19.03,908.5,D,D3,Jan-2018,Fully Paid,whole,Cash,0,0.33653846153846156,14,0
10.0,MORTGAGE,209000.0,Source Verified,19.76,,,,0,52.0,1999,2,39,18,803161,137382,0,0,,0,0,4,7,8.0,18,0.0,0,6,45200,19,12,10,6,94.9,0,0,debt_consolidation,individual,24000,60,11.99,533.75,B,B5,Feb-2018,Fully Paid,whole,Cash,0,0.11483253588516747,19,0
0.0,RENT,200000.0,Source Verified,8.41,,,,1,10.0,1995,2,22,11,55577,41806,0,0,,0,0,2,4,8.0,11,0.0,0,5,21700,10,9,8,2,95.2,0,0,debt_consolidation,individual,17000,36,23.88,665.89,E,E2,Jan-2018,Fully Paid,fractional,Cash,0,0.085,23,0
7.0,RENT,103000.0,Source Verified,6.58,,,,0,71.0,1987,3,37,8,124900,27381,0,0,,0,0,0,5,3.0,8,0.0,0,3,64700,26,8,5,0,97.2,0,0,other,individual,30000,36,7.35,931.13,A,A4,Feb-2018,Fully Paid,whole,Cash,0,0.2912621359223301,31,0
4.0,MORTGAGE,150000.0,Not Verified,12.78,,,,0,999.0,2004,2,27,11,417526,99141,0,0,,0,0,3,10,5.0,11,0.0,0,2,32000,13,7,5,4,100.0,0,0,debt_consolidation,individual,8000,36,9.43,256.01,B,B1,Mar-2018,Fully Paid,whole,Cash,0,0.05333333333333334,14,0
4.0,OWN,38000.0,Verified,0.79,,,,0,999.0,2003,1,7,3,79175,1564,0,0,,0,0,0,2,2.0,3,0.0,0,1,3000,4,2,1,1,100.0,0,0,other,individual,27000,60,14.08,629.37,C,C3,Jan-2018,Fully Paid,whole,Cash,0,0.7105263157894737,15,0
8.0,RENT,33000.0,Source Verified,2.36,,,,0,999.0,2006,1,16,7,20800,1884,0,0,,0,0,0,2,6.0,7,0.0,0,1,12000,10,7,1,0,100.0,0,0,debt_consolidation,individual,4000,36,9.44,128.02,B,B1,Feb-2018,Fully Paid,whole,Cash,0,0.12121212121212122,12,0
1.0,RENT,31000.0,Not Verified,29.89,,,,0,999.0,2008,0,7,7,65511,26745,0,0,,0,0,1,2,,7,0.0,0,4,42000,6,6,4,0,100.0,0,0,credit_card,individual,15000,36,24.85,595.21,E,E3,Jan-2018,Fully Paid,whole,Cash,0,0.4838709677419355,10,0
1.0,MORTGAGE,62400.0,Not Verified,12.76,,,,0,999.0,2004,2,16,8,274471,11264,0,0,,0,0,1,5,7.0,8,0.0,0,2,12500,8,6,2,2,100.0,0,0,home_improvement,individual,1300,36,11.98,43.17,B,B5,Mar-2018,Fully Paid,whole,Cash,0,0.020833333333333332,14,0
1.0,MORTGAGE,62000.0,Not Verified,9.16,,,,0,25.0,2006,1,47,25,235383,150759,0,0,,0,198,13,6,4.0,25,0.0,0,3,12700,19,11,6,3,95.6,0,0,home_improvement,individual,3000,36,7.96,93.96,A,A5,Mar-2018,Charged Off,fractional,Cash,1,0.04838709677419355,12,0
1.0,MORTGAGE,70000.0,Verified,33.55,,,,0,999.0,2005,2,51,24,304002,48386,0,0,,0,0,4,7,6.0,24,0.0,0,10,83100,31,19,15,3,100.0,0,0,debt_consolidation,individual,28950,60,11.98,643.69,B,B5,Mar-2018,Fully Paid,whole,Cash,0,0.4135714285714286,13,0
3.0,RENT,45000.0,Source Verified,23.97,,,,0,26.0,2010,5,44,13,65792,37431,0,0,26.0,0,0,3,17,7.0,13,0.0,0,2,10900,30,10,5,0,90.9,0,0,vacation,individual,4500,36,15.05,156.11,C,C4,Jan-2018,Fully Paid,whole,Cash,0,0.1,8,0
10.0,RENT,45000.0,Source Verified,22.19,,,,0,30.0,1993,1,38,22,128362,34325,0,0,,0,0,1,6,9.0,22,0.0,0,8,107100,32,20,9,0,97.4,0,0,debt_consolidation,individual,3500,36,15.05,121.42,C,C4,Jan-2018,Fully Paid,fractional,Cash,0,0.07777777777777778,25,0
1.0,MORTGAGE,180000.0,Source Verified,0.17,,,,1,23.0,2012,7,11,6,474200,415,0,0,,0,0,0,2,2.0,6,0.0,0,1,52000,10,5,1,1,90.9,0,0,major_purchase,individual,40000,36,7.35,1241.5,A,A4,Feb-2018,Fully Paid,whole,Cash,0,0.2222222222222222,6,0
1.0,MORTGAGE,55000.0,Source Verified,29.11,,,,0,28.0,1990,0,40,18,199837,49130,0,0,,0,0,2,4,13.0,18,0.0,0,4,44400,18,15,7,4,92.5,0,0,debt_consolidation,individual,30000,60,12.62,676.78,C,C1,Jan-2018,Fully Paid,whole,Cash,0,0.5454545454545454,28,0
0.0,OWN,25000.0,Verified,6.72,,,,0,72.0,2009,2,28,6,114005,3185,0,0,,0,0,1,4,0.0,6,0.0,0,1,16900,6,3,1,2,96.4,0,0,other,individual,8000,36,10.9,261.54,B,B4,Feb-2018,Fully Paid,whole,Cash,0,0.32,9,0
10.0,MORTGAGE,95000.0,Not Verified,27.22,140000.0,Not Verified,20.63,1,4.0,2004,0,45,23,332270,112694,0,1,,0,0,9,3,15.0,23,0.0,0,6,41800,26,13,7,4,97.8,1,0,debt_consolidation,joint,25000,36,9.93,805.86,B,B2,Jan-2018,Fully Paid,fractional,Cash,0,0.2631578947368421,14,0
2.0,RENT,23500.0,Source Verified,20.4,,,,0,999.0,2009,1,11,7,59751,28169,0,0,,0,0,3,2,8.0,7,0.0,0,2,34900,4,4,2,0,100.0,0,0,debt_consolidation,individual,12000,36,7.34,372.4,A,A4,Feb-2018,Fully Paid,whole,Cash,0,0.5106382978723404,9,0
10.0,MORTGAGE,68000.0,Verified,24.6,,,,0,999.0,2007,10,22,10,307329,79188,0,0,,0,0,3,6,4.0,10,0.0,0,5,53200,10,6,6,2,100.0,0,0,debt_consolidation,individual,8000,36,7.96,250.55,A,A5,Mar-2018,Fully Paid,whole,Cash,0,0.11764705882352941,11,0
5.0,MORTGAGE,54902.0,Source Verified,22.47,,,,1,13.0,2005,3,46,9,205156,139223,0,1,,0,0,6,3,0.0,9,0.0,0,1,2400,3,1,1,2,93.5,0,1,debt_consolidation,individual,8000,36,13.58,271.8,C,C2,Mar-2018,Fully Paid,fractional,Cash,0,0.1457141816327274,13,0
10.0,RENT,53527.6,Verified,10.47,,,,0,999.0,2000,0,8,6,17600,17160,0,0,,0,0,0,1,,6,0.0,0,5,12600,6,6,6,1,100.0,0,0,debt_consolidation,individual,30000,36,18.06,1085.48,D,D2,Feb-2018,Fully Paid,fractional,Cash,0,0.5604585298051846,18,0
10.0,OWN,37840.0,Not Verified,26.86,,,,0,67.0,2007,6,13,8,64872,43862,0,0,,0,0,2,6,2.0,8,0.0,0,2,16600,9,6,3,0,92.3,0,0,credit_card,individual,10000,60,23.88,286.99,E,E2,Feb-2018,Fully Paid,whole,Cash,0,0.2642706131078224,11,0
2.0,OWN,29000.0,Verified,1.16,,,,0,999.0,2008,0,11,7,14500,981,0,0,,0,1844,0,3,,7,0.0,0,1,11000,7,7,1,0,100.0,0,0,debt_consolidation,individual,12000,36,10.91,392.36,B,B4,Jan-2018,Fully Paid,whole,Cash,0,0.41379310344827586,10,0
1.0,MORTGAGE,145000.0,Verified,23.26,,,,0,999.0,2003,1,11,7,423921,104566,0,0,,0,0,3,3,9.0,7,0.0,0,2,23500,3,3,3,2,100.0,0,0,house,individual,35000,60,17.47,878.71,D,D1,Feb-2018,Fully Paid,whole,Cash,0,0.2413793103448276,15,0
10.0,MORTGAGE,44000.0,Source Verified,13.75,,,,0,43.0,2003,2,17,9,77353,20197,0,0,,0,0,1,7,0.0,9,0.0,0,2,21400,9,7,5,2,94.1,0,0,debt_consolidation,individual,11500,60,12.61,259.38,C,C1,Feb-2018,Fully Paid,whole,Cash,0,0.26136363636363635,15,0
4.0,RENT,92000.0,Not Verified,24.99,,,,0,999.0,2001,4,27,6,142546,96275,0,0,,0,0,4,3,5.0,6,0.0,0,1,27000,16,2,1,0,100.0,0,0,debt_consolidation,individual,25450,36,7.97,797.16,A,A5,Jan-2018,Fully Paid,whole,Cash,0,0.2766304347826087,17,0
3.0,MORTGAGE,78000.0,Not Verified,10.86,,,,0,84.0,1998,5,45,16,97477,89055,0,0,,0,0,7,3,12.0,16,0.0,0,4,28000,25,9,7,0,95.5,0,0,credit_card,individual,6025,36,15.05,209.01,C,C4,Jan-2018,Fully Paid,whole,Cash,0,0.07724358974358975,20,0
10.0,MORTGAGE,43000.0,Not Verified,11.11,,,,0,999.0,1998,1,18,9,98593,20722,0,0,,0,0,1,5,8.0,9,0.0,0,2,13600,6,6,4,2,100.0,0,0,debt_consolidation,individual,6400,36,14.07,218.96,C,C3,Mar-2018,Fully Paid,whole,Cash,0,0.14883720930232558,20,0
8.0,RENT,120000.0,Source Verified,16.9,,,,0,999.0,2004,1,18,7,58389,41775,0,0,,0,0,3,3,5.0,7,0.0,0,2,8500,6,4,4,0,100.0,0,0,other,individual,15000,36,17.09,535.47,D,D1,Feb-2018,Fully Paid,whole,Cash,0,0.125,14,0
,RENT,38000.0,Verified,11.28,,,,0,999.0,2009,0,7,6,18414,10959,0,0,,0,0,1,6,20.0,6,0.0,0,2,2000,5,5,4,0,100.0,0,0,debt_consolidation,individual,3000,36,13.59,101.94,C,C2,Jan-2018,Fully Paid,whole,Cash,0,0.07894736842105263,9,0
10.0,MORTGAGE,92500.0,Verified,9.8,,,,0,33.0,1986,4,29,8,50815,25438,0,1,62.0,0,0,1,3,2.0,8,,0,4,19000,22,7,5,2,66.0,0,1,debt_consolidation,individual,35000,60,25.81,1043.99,E,E4,Mar-2018,Fully Paid,whole,Cash,0,0.3783783783783784,32,0
10.0,MORTGAGE,85000.0,Source Verified,18.92,335000.0,Source Verified,7.18,2,9.0,1991,1,21,7,524299,36949,0,0,9.0,0,0,1,2,12.0,7,0.0,0,2,18300,14,5,3,2,90.5,0,0,debt_consolidation,joint,12000,36,10.42,389.58,B,B3,Jan-2018,Fully Paid,fractional,Cash,0,0.1411764705882353,27,0
3.0,RENT,60000.0,Source Verified,24.66,,,,0,999.0,2002,0,18,9,226131,67509,0,1,,0,0,3,2,15.0,9,0.0,0,4,13500,6,5,5,1,100.0,0,1,credit_card,individual,13000,36,7.34,403.43,A,A4,Feb-2018,Fully Paid,whole,DirectPay,0,0.21666666666666667,16,0
0.0,RENT,90500.0,Not Verified,25.13,,,,0,999.0,2007,1,32,18,203921,194908,0,0,,0,0,15,4,7.0,18,0.0,0,3,12300,5,3,3,0,100.0,0,0,credit_card,individual,17000,36,7.35,527.64,A,A4,Jan-2018,Fully Paid,whole,Cash,0,0.1878453038674033,11,0
10.0,MORTGAGE,133000.0,Source Verified,20.86,,,,0,999.0,2006,4,26,9,369146,102943,0,0,,0,0,3,4,3.0,9,0.0,0,0,7200,13,4,0,2,100.0,0,0,other,individual,32000,60,15.05,762.12,C,C4,Jan-2018,Fully Paid,whole,Cash,0,0.24060150375939848,12,0
10.0,RENT,36433.0,Source Verified,26.93,,,,0,999.0,2004,0,19,10,46780,22379,0,0,,0,0,1,5,19.0,10,0.0,0,0,9500,16,8,1,0,100.0,0,0,debt_consolidation,individual,6000,36,7.35,186.23,A,A4,Jan-2018,Fully Paid,whole,Cash,0,0.16468586171877145,14,0
1.0,OWN,80000.0,Source Verified,9.29,,,,0,999.0,2004,0,11,5,22600,19502,0,0,,0,0,0,0,,5,0.0,0,4,21600,7,5,4,0,100.0,0,0,debt_consolidation,individual,25000,36,18.45,909.47,D,D2,Mar-2018,Fully Paid,whole,Cash,0,0.3125,14,0
10.0,RENT,38000.0,Source Verified,11.5,,,,0,999.0,2006,9,21,9,16600,4447,0,1,,0,244,1,5,1.0,9,0.0,0,1,9400,8,6,1,0,100.0,0,1,other,individual,2000,36,13.59,67.96,C,C2,Mar-2018,Fully Paid,whole,Cash,0,0.05263157894736842,12,0
10.0,MORTGAGE,108000.0,Verified,28.65,,,,0,999.0,1999,4,49,14,369729,110667,0,0,,0,0,3,5,0.0,14,0.0,0,7,69800,14,9,7,1,100.0,0,0,debt_consolidation,individual,35725,36,10.91,1168.07,B,B4,Jan-2018,Fully Paid,fractional,Cash,0,0.33078703703703705,19,0
